location,size,total_sqft,bath,price,bhk,price_per_sqft
 Anekal,1 RK,351.0,1.0,16.0,1,4558.404558404558
 Banaswadi,1 RK,527.0,1.0,35.0,1,6641.366223908918
 Basavangudi,1 RK,670.0,1.0,50.0,1,7462.686567164179
 Bhoganhalli,1 RK,296.0,1.0,22.89,1,7733.108108108108
 Devarabeesana Halli,2 BHK,1100.0,2.0,70.0,2,6363.636363636364
 Devarabeesana Halli,2 BHK,1296.0,2.0,70.0,2,5401.234567901234
 Devarabeesana Halli,3 BHK,1670.0,3.0,160.0,3,9580.838323353293
 Devarabeesana Halli,3 BHK,1672.0,3.0,150.0,3,8971.291866028709
 Devarabeesana Halli,3 BHK,1750.0,3.0,149.0,3,8514.285714285714
 Devarabeesana Halli,3 BHK,1750.0,3.0,150.0,3,8571.42857142857
 Devarachikkanahalli,2 BHK,947.0,2.0,43.0,2,4540.654699049631
 Devarachikkanahalli,2 BHK,991.0,2.0,40.0,2,4036.326942482341
 Devarachikkanahalli,2 BHK,1116.0,2.0,47.0,2,4211.469534050179
 Devarachikkanahalli,2 BHK,1130.0,2.0,36.0,2,3185.8407079646017
 Devarachikkanahalli,2 BHK,1170.0,2.0,40.0,2,3418.803418803419
 Devarachikkanahalli,2 Bedroom,1200.0,2.0,83.0,2,6916.666666666667
 Devarachikkanahalli,2 BHK,1230.0,2.0,58.0,2,4715.447154471544
 Devarachikkanahalli,2 BHK,1250.0,2.0,40.0,2,3200.0
 Devarachikkanahalli,3 BHK,1250.0,2.0,44.0,3,3520.0
 Devarachikkanahalli,3 BHK,1417.0,2.0,76.0,3,5363.443895553987
 Devarachikkanahalli,3 BHK,1425.0,2.0,65.0,3,4561.403508771929
 Devarachikkanahalli,3 Bedroom,1200.0,3.0,160.0,3,13333.333333333334
 Devarachikkanahalli,3 BHK,1700.0,3.0,71.0,3,4176.470588235294
 Devarachikkanahalli,3 BHK,1705.0,3.0,75.0,3,4398.826979472141
 Electronic City,1 RK,435.0,1.0,19.5,1,4482.758620689655
 Electronic City,1 RK,550.0,1.0,27.0,1,4909.090909090909
 Mysore Highway,1 BHK,535.0,1.0,35.0,1,6542.056074766355
 Mysore Highway,1 BHK,600.0,1.0,17.0,1,2833.3333333333335
 Mysore Highway,1 BHK,700.0,1.0,25.5,1,3642.8571428571427
 Mysore Highway,3 BHK,1450.0,2.0,70.0,3,4827.586206896552
 Rachenahalli,1 RK,412.5,1.0,19.8,1,4800.0
 Rachenahalli,1 RK,440.0,1.0,28.0,1,6363.636363636364
 Sector 1 HSR Layout,1 BHK,6000.0,1.0,276.0,1,4600.0
 Thanisandra,1 RK,445.0,1.0,28.0,1,6292.134831460674
 Thanisandra,1 RK,510.0,1.0,25.25,1,4950.980392156863
 Thanisandra,1 RK,510.0,1.0,25.25,1,4950.980392156863
 Whitefield,1 RK,905.0,1.0,52.0,1,5745.85635359116
 ittamadu,3 Bedroom,600.0,2.0,110.0,3,18333.333333333332
 south,3 Bedroom,2400.0,2.0,480.0,3,20000.0
 south,4 BHK,3420.0,3.0,410.0,4,11988.30409356725
1 Annasandrapalya,11 Bedroom,1200.0,6.0,150.0,11,12500.0
1 Giri Nagar,11 BHK,5000.0,9.0,360.0,11,7200.0
1 Immadihalli,11 BHK,6000.0,12.0,150.0,11,2500.0
1 Ramamurthy Nagar,11 Bedroom,1200.0,11.0,170.0,11,14166.666666666666
12th cross srinivas nagar banshankari 3rd stage,1 BHK,1800.0,1.0,200.0,1,11111.111111111111
1A Block Koramangala,4 Bedroom,2360.0,4.0,650.0,4,27542.372881355932
1Channasandra,14 BHK,1250.0,15.0,125.0,14,10000.0
1Hanuman Nagar,19 BHK,2000.0,16.0,490.0,19,24500.0
1Hoysalanagar,13 BHK,5425.0,13.0,275.0,13,5069.124423963133
1Kasavanhalli,18 Bedroom,1200.0,18.0,200.0,18,16666.666666666668
1st Block BEL Layout,3 BHK,1540.0,3.0,85.0,3,5519.480519480519
1st Block BEL Layout,4 Bedroom,1800.0,5.0,250.0,4,13888.888888888889
1st Block HBR Layout,1 BHK,600.0,1.0,45.0,1,7500.0
1st Block HBR Layout,4 BHK,3150.0,4.0,150.0,4,4761.9047619047615
1st Block HBR Layout,5 Bedroom,2500.0,6.0,500.0,5,20000.0
1st Block HRBR Layout,2 BHK,1250.0,2.0,67.0,2,5360.0
1st Block HRBR Layout,3 Bedroom,600.0,3.0,90.0,3,15000.0
1st Block HRBR Layout,3 Bedroom,600.0,3.0,125.0,3,20833.333333333332
1st Block HRBR Layout,3 BHK,2300.0,3.0,80.0,3,3478.2608695652175
1st Block HRBR Layout,3 Bedroom,600.0,4.0,125.0,3,20833.333333333332
1st Block HRBR Layout,7 Bedroom,2400.0,7.0,355.0,7,14791.666666666666
1st Block HRBR Layout,8 Bedroom,1200.0,7.0,235.0,8,19583.333333333332
1st Block HRBR Layout,10 Bedroom,2416.0,10.0,600.0,10,24834.437086092716
1st Block Jayanagar,2 BHK,1235.0,2.0,148.0,2,11983.805668016194
1st Block Jayanagar,2 BHK,1000.0,3.0,60.0,2,6000.0
1st Block Jayanagar,3 BHK,1200.0,2.0,130.0,3,10833.333333333334
1st Block Jayanagar,3 BHK,1875.0,2.0,235.0,3,12533.333333333334
1st Block Jayanagar,3 BHK,1630.0,3.0,194.0,3,11901.840490797545
1st Block Jayanagar,3 BHK,1760.0,3.0,115.0,3,6534.090909090909
1st Block Jayanagar,4 Bedroom,2400.0,4.0,450.0,4,18750.0
1st Block Jayanagar,4 BHK,2450.0,4.0,368.0,4,15020.408163265307
1st Block Jayanagar,4 BHK,2750.0,4.0,413.0,4,15018.181818181818
1st Block Jayanagar,4 BHK,2850.0,4.0,428.0,4,15017.543859649122
1st Block Jayanagar,6 BHK,1200.0,6.0,125.0,6,10416.666666666666
1st Block Jayanagar,7 Bedroom,930.0,4.0,85.0,7,9139.78494623656
1st Block Jayanagar,8 Bedroom,1700.0,3.0,50.0,8,2941.176470588235
1st Block Jayanagar,8 Bedroom,700.0,4.0,104.0,8,14857.142857142857
1st Block Koramangala,2 BHK,860.0,2.0,65.5,2,7616.279069767442
1st Block Koramangala,2 BHK,1000.0,2.0,45.0,2,4500.0
1st Block Koramangala,2 BHK,1415.0,2.0,110.0,2,7773.851590106007
1st Block Koramangala,3 BHK,1800.0,3.0,53.0,3,2944.4444444444443
1st Block Koramangala,3 BHK,2350.0,3.0,210.0,3,8936.170212765957
1st Block Koramangala,4 BHK,3000.0,3.0,300.0,4,10000.0
1st Block Koramangala,4 Bedroom,2360.0,4.0,600.0,4,25423.728813559323
1st Block Koramangala,4 Bedroom,2360.0,4.0,601.0,4,25466.101694915254
1st Block Koramangala,4 Bedroom,1200.0,5.0,350.0,4,29166.666666666668
1st Block Koramangala,4 BHK,3000.0,5.0,500.0,4,16666.666666666668
1st Phase JP Nagar,1 BHK,840.0,2.0,50.0,1,5952.380952380952
1st Phase JP Nagar,2 BHK,900.0,2.0,75.0,2,8333.333333333334
1st Phase JP Nagar,2 BHK,1077.0,2.0,93.0,2,8635.097493036212
1st Phase JP Nagar,2 BHK,1180.0,2.0,88.5,2,7500.0
1st Phase JP Nagar,2 BHK,1200.0,2.0,86.0,2,7166.666666666667
1st Phase JP Nagar,2 BHK,1205.0,2.0,85.0,2,7053.941908713693
1st Phase JP Nagar,2 BHK,1394.0,2.0,85.0,2,6097.5609756097565
1st Phase JP Nagar,2 BHK,1394.0,2.0,100.0,2,7173.601147776184
1st Phase JP Nagar,2 Bedroom,1566.0,2.0,180.0,2,11494.252873563219
1st Phase JP Nagar,3 BHK,1590.0,3.0,131.0,3,8238.993710691824
1st Phase JP Nagar,3 BHK,1875.0,3.0,167.0,3,8906.666666666666
1st Phase JP Nagar,3 BHK,2024.0,3.0,157.0,3,7756.916996047431
1st Phase JP Nagar,3 BHK,2059.0,3.0,225.0,3,10927.634774162214
1st Phase JP Nagar,3 BHK,2077.0,3.0,175.0,3,8425.613866153106
1st Phase JP Nagar,3 BHK,2180.0,3.0,210.0,3,9633.02752293578
1st Phase JP Nagar,3 BHK,2065.0,4.0,210.0,3,10169.49152542373
1st Phase JP Nagar,4 BHK,4550.0,2.0,240.0,4,5274.725274725275
1st Phase JP Nagar,4 Bedroom,1900.0,3.0,400.0,4,21052.63157894737
1st Phase JP Nagar,4 Bedroom,1200.0,4.0,300.0,4,25000.0
1st Phase JP Nagar,4 BHK,2825.0,4.0,250.0,4,8849.557522123894
1st Phase JP Nagar,4 BHK,2615.0,5.0,222.0,4,8489.483747609942
1st Phase JP Nagar,5 Bedroom,1500.0,5.0,85.0,5,5666.666666666667
1st Phase JP Nagar,5 Bedroom,2200.0,7.0,350.0,5,15909.09090909091
1st Phase JP Nagar,8 Bedroom,1200.0,7.0,240.0,8,20000.0
1st Stage Domlur,3 BHK,1350.0,2.0,65.0,3,4814.814814814815
1st Stage Indira Nagar,2 BHK,940.0,2.0,56.0,2,5957.446808510638
1st Stage Indira Nagar,2 BHK,1200.0,2.0,55.0,2,4583.333333333333
1st Stage Indira Nagar,2 BHK,1400.0,2.0,67.0,2,4785.714285714285
1st Stage Indira Nagar,4 Bedroom,2400.0,4.0,500.0,4,20833.333333333332
1st Stage Indira Nagar,4 BHK,3000.0,4.0,301.0,4,10033.333333333334
1st Stage Radha Krishna Layout,6 Bedroom,1790.0,5.0,250.0,6,13966.480446927375
2Electronic City Phase II,27 BHK,8000.0,27.0,230.0,27,2875.0
2nd Block Bel Layout,3 BHK,1625.0,3.0,92.0,3,5661.538461538462
2nd Block Bel Layout,3 BHK,1625.0,3.0,92.0,3,5661.538461538462
2nd Block Hbr Layout,5 Bedroom,950.0,5.0,55.0,5,5789.473684210527
2nd Block Hrbr Layout,3 BHK,1480.0,3.0,90.0,3,6081.081081081081
2nd Block Hrbr Layout,3 BHK,1480.0,3.0,90.0,3,6081.081081081081
2nd Block Hrbr Layout,3 BHK,1550.0,3.0,110.0,3,7096.774193548387
2nd Block Hrbr Layout,3 Bedroom,4273.0,3.0,1100.0,3,25743.037678446057
2nd Block Hrbr Layout,4 Bedroom,1350.0,4.0,235.0,4,17407.40740740741
2nd Block Hrbr Layout,4 Bedroom,1050.0,6.0,74.0,4,7047.619047619048
2nd Block Hrbr Layout,5 Bedroom,1250.0,5.0,300.0,5,24000.0
2nd Block Jayanagar,2 BHK,1000.0,2.0,97.0,2,9700.0
2nd Block Jayanagar,3 BHK,1718.0,3.0,223.0,3,12980.209545983702
2nd Block Jayanagar,4 Bedroom,4920.0,5.0,1150.0,4,23373.983739837397
2nd Block Jayanagar,6 Bedroom,825.0,6.0,400.0,6,48484.84848484849
2nd Block Koramangala,3 Bedroom,3000.0,3.0,550.0,3,18333.333333333332
2nd Block Koramangala,7 Bedroom,5400.0,5.0,972.0,7,18000.0
2nd Phase JP Nagar,2 BHK,1000.0,1.0,55.0,2,5500.0
2nd Phase JP Nagar,2 BHK,850.0,2.0,42.5,2,5000.0
2nd Phase JP Nagar,2 BHK,1040.0,2.0,78.0,2,7500.0
2nd Phase JP Nagar,2 BHK,1070.0,2.0,38.0,2,3551.4018691588785
2nd Phase JP Nagar,3 Bedroom,1200.0,3.0,190.0,3,15833.333333333334
2nd Phase JP Nagar,3 Bedroom,2610.0,3.0,499.0,3,19118.773946360154
2nd Phase JP Nagar,5 BHK,2800.0,4.0,200.0,5,7142.857142857143
2nd Phase JP Nagar,6 Bedroom,900.0,6.0,170.0,6,18888.88888888889
2nd Phase JP Nagar,8 Bedroom,1350.0,8.0,185.0,8,13703.703703703704
2nd Phase Judicial Layout,1 BHK,525.0,1.0,26.0,1,4952.380952380952
2nd Phase Judicial Layout,2 BHK,700.0,2.0,35.0,2,5000.0
2nd Phase Judicial Layout,2 BHK,900.0,2.0,41.0,2,4555.555555555556
